Objective,ID,Classification,Bucket,Core Tags,Supplementary Tags,Restrictions,Selection Count,Selection Frequency
Reveal three hidden djinn,275,16,D,"Djinn_l, Sccop, Cyclone","Reveal, Tremor, Force, RarePsy",169,1244,12.4%
"Befriend Mold, Meld or Reflux",84,11,C,Djinn_s,,"75, 85, 83",1238,12.4%
"Use Blaze on a fire (Naribwe, Magma or Mars)",105,13,D,"Blaze, RarePsy",,,1221,12.2%
Go through one corridor in inner Islet Cave without Avoid active,256,18,E,"Battle, Mind Read, Turtle",,"198, 153",1214,12.1%
"Befriend Shine, Fever or Fog",87,11,C,Djinn_s,,"76, 88, 86",1208,12.1%
Climb a vine made with Growth,253,19,E,Growth,"Exploration, Western Sea, Lemuria",,1208,12.1%
"Befriend Flower, Crystal or Spritz",83,11,C,Djinn_s,,"75, 84, 85",1207,12.1%
Own 4 Boots,38,5,B,Collect_c,,,1207,12.1%
Befriend the djinn in Islet Cave outside of the corridor,153,18,E,"Turtle, Mind Read, Djinn_l",Islands,,1206,12.1%
Break all 3 bridges in Shrine of the Sea God,203,15,D,"Frost, Lash","Fun, Exploration",,1195,11.9%
"Befriend Ether, Aroma or Ember",89,11,C,Djinn_s,,"77, 90, 91",1189,11.9%
"Befriend Lull, Kite, or Eddy",90,11,C,Djinn_s,,"77, 91, 89",1186,11.9%
Collect the item from Atteka Cavern,120,14,D,"Parch, Western Sea, Collect_l",Atteka,"116, 117, 118, 119, 121",1185,11.8%
Collect the Hesperia Settlement Chest,159,19,E,"Western Sea, Growth, Collect_l",Hesperia,30,1183,11.8%
"Befriend Spring, Fizz or Breath",94,11,C,Djinn_s,,"78, 93, 92",1173,11.7%
Battle a Djinn you have cornered,114,13,D,"Djinn_l, Lash","Lash, Pound, Parch","204, 199, 167, 119",1166,11.7%
"Befriend Vine, Mud or Zephyr",85,11,C,Djinn_s,,"75, 84, 83",1166,11.7%
Play a game in Contigo that requires a game ticket,102,5,B,"Western Sea, Collect_s",Atteka,102,1164,11.6%
Climb the Lash rope in Gondowan Cliffs,127,15,D,Lash,"Frost, Scoop, Gondowan, RopeClimb","192, 122, 123, 124, 125, 126",1163,11.6%
Defeat 3 Mad Plants,287,19,E,"Cyclone, Whirlwind",Dancing Idol,"128, 129",1160,11.6%
"Befriend Corona, Kindle or Iron",88,11,C,Djinn_s,,"76, 87, 86",1159,11.6%
"Befriend Dew, Balm or Quartz",93,11,C,Djinn_s,,"78, 94, 92",1155,11.6%
"Befriend Wheeze, Whorl or Bane",91,11,C,Djinn_s,,"77, 90, 89",1154,11.5%
Own 3 Rings,39,5,B,Collect_c,,,1148,11.5%
Receive any 2 Animal Trading Quest rewards,149,18,E,"Collect_s, Mind Read",Islands,288,1148,11.5%
Enter Jupiter Lighthouse's basement purple room,95,10,D,"Western Sea, Cyclone, Exploration","Jupiter, Atteka","100, 191, 192, 200, 255",1146,11.5%
Collect any chest in Alhafran Cave,132,16,D,"Briggs, Collect_l, Lash, Pound","Tremor, Burst, Lash, Pound, Alhafra, Osenia","7, 134, 135",1141,11.4%
Equip someone with two pieces of automatic HP/PP restoring gear,209,9,B,Inventory,,,1140,11.4%
Equip 3 party members with rusty weapons,210,9,B,Inventory,,,1138,11.4%
Obtain the Corn,44,5,B,Collect_s,Fun,,1135,11.3%
"Befriend Char, Scorch or Squall",86,11,C,Djinn_s,,"76, 87, 88",1131,11.3%
Collect 3 of 4 Vanilla Mints,100,10,D,"Western Sea, Cyclone, Collect_l","Jupiter, Apojii, Atteka","107, 109, 43, 95",1130,11.3%
Own 2 Shirts,37,5,B,Collect_c,,,1129,11.3%
Activate the Hover Pads in Jupiter Lighthouse,148,18,E,"Cyclone, Hover","Western Sea, Jupiter, Atteka","191, 192, 200, 255, 95",1127,11.3%
Get the shoal enclosed Rusty Weapon (Western Sea),103,5,B,"Hover, Collect_l",,,1122,11.2%
Put someone into a tri-elemental class,184,12,C,Djinn_c,,"277, 278, 279, 280",1109,11.1%
Attempt to return the Laughing Fungus to the old couple in Madra,259,5,B,Exploration,,,1104,11.0%
Bring the Black Crystal into the boat's engine room,291,5,B,Western Sea,,45,1104,11.0%
Collect two Prongs,205,5,B,Prongs,,266,1097,11.0%
Reverse the gears in Gabomba,271,16,D,"Scoop, Pound","Gabomba, Kibombo, Gondowan, Lash","195, 124, 165, 140",1093,10.9%
Fall through cracked tiles in three different dungeons,255,18,E,"Western Sea, Cyclone, Hover","Reveal, Teleport, Red Key, Blue Key, Jupiter","95, 148, 191, 192, 200",1077,10.8%
Get at least 10 djinn of one element,183,21,C,Djinn_c,,"75, 76, 77, 78",1070,10.7%
Use Tremor to collect an item,252,20,E,"Tremor, RarePsy",,,1067,10.7%
Collect three items with different colors in their names,42,5,B,Collect_c,,,1065,10.7%
8 Stat Boosters,43,5,B,Collect_c,,100,1058,10.6%
Open the entrance to Aqua Rock Interior (whirlpool at the top),283,16,D,"Douse, Frost",,"144, 282, 118, 133, 229",1056,10.6%
Open the Airs Rock Frost chest,152,18,E,"Whirlwind, Frost, Collect_l","Airs Rock, Osenia","23, 24, 152",1052,10.5%
Catch the Kalt Island Apple,145,17,E,"Catch, Western Sea, Collect_l, RarePsy",Islands,268,1046,10.5%
Restore the Sandfall in the center of Ankohl Ruins,147,18,E,"Sand, Whirlwind, Reveal, Collect_l","Ankohl, Angara","138, 224",1039,10.4%
Take a selfie with Karst,258,17,E,"Pound, Scoop","Lash, Whirlwind, Burst, Reveal, Hover, Blaze, Teleport","165, 140, 191, 200",1036,10.4%
Collect both Lemurian Lucky Medals,141,17,E,"Grind, Scoop, Collect_l",Lemuria,"113, 123, 139, 173, 206",1032,10.3%
"Find cheese in two ovens (Mikasalla, Prox)",230,5,B,"Western Sea, Magma Ball, RareItem","Exploration, Fun","98, 226",1028,10.3%
Scoop up the bone in Lemuria,206,17,E,"Scoop, Grind","Lemuria, Fun","123, 139, 141, 173, 113",1022,10.2%
Talk to three dogs (not Mind Read),231,5,B,Grind,"Tremor, Fun",288,1019,10.2%
Befriend the djinn in Ancient Lemuria,139,17,E,"Grind, Tremor, Cyclone, Djinn_l",Lemuria,"113, 123, 141, 173, 206",1017,10.2%
Stack two blocks on top of each other to obtain an item.,268,17,E,"RarePsy, Carry",Mind Read,145,1013,10.1%
Defeat an enemy in the desert area of Hesperia,16,4,A,"Battle, Exploration, Western Sea",,,997,10.0%
Climb the Lash rope in Apojii Islands,122,15,D,"Lash, Sand, Whirlwind","Apojii, RopeClimb","192, 123, 124, 125, 126, 127",991,9.9%
Have the Fortune Teller make a reading from two quest items,45,5,B,"Collect_c, Exploration",Gondowan,"291, 18",989,9.9%
Befriend the Aqua Rock djinn,116,14,D,"Parch, Douse","Aqua Rock, Apojii","117, 118, 119, 120, 121, 229, 133",988,9.9%
Collect the Cloud Brand from behind Serpent,155,18,E,"Sand, Growth, Collect_l","Gaia Rock, Nihan","198, 256",987,9.9%
Reach the Aqua Rock Purple Room,118,14,D,Douse,"Parch, Frost, Aqua Rock, Apojii","116, 117, 119, 120, 121, 229, 133, 283",979,9.8%
Use Parch to drain water in two separate areas,121,14,D,Parch,,"116, 117, 118, 119, 120, 106, 146, 213, 281",975,9.8%
Mind Read the Cow in Lemuria,173,20,E,"Mind Read, Grind","Lemuria, Fun, Growth","113, 123, 139, 141, 206",974,9.7%
"Open the ""Teleport Lapis"" chest in Mars Lighthouse",171,22,F,"Western Sea, Magma Ball, Grind, Pound, Collect_l, RareItem","Blaze, Teleport, Mars, Northern Reaches, RarePsy",194,973,9.7%
Drain the water in Mikasalla cave,117,14,D,"Parch, Scoop","Mikasalla, Osenia","116, 118, 119, 120, 121",966,9.7%
Melt a Frost pillar,250,13,D,"Western Sea, Whirlwind","Shaman Village, Taopo Swamp, Mars Lighthouse","125, 131, 199, 202, 257, 285",965,9.7%
"Solve the Hover ""bird"" puzzle prior to Dullahan",251,20,E,"Reveal, Sand, Hover",Atteka,"97, 234, 235",965,9.7%
Get a Rainbow kill,8,1,A,Battle,,,956,9.6%
Fix the Osenia bridge,134,16,D,"Briggs, Burst, Pound, Lash",Osenia,135,943,9.4%
Inflict a status ailment on an enemy,4,1,A,Battle,Status,,938,9.4%
Reach the top of Shrine of the Sea God,162,20,E,"Frost, Lash, Reveal, Tear, Collect_l",Indra,,935,9.3%
Reach level 21 on at least 3 characters,158,1,A,Battle,,,934,9.3%
Enter Gondowan Cliffs from all four entrances,29,4,A,"Western Sea, Exploration",Gondowan,232,932,9.3%
Collect the Tundaria Tower djinn,119,14,D,"Parch, Battle, Djinn_l",Tundaria,"116, 117, 118, 120, 121, 106, 146, 213, 114, 281",925,9.2%
Use four different healing items in battle,15,2,A,"Battle, Collect_c",,,924,9.2%
Enter the cave in Gondowan Cliffs,25,3,A,Whirlwind,"Gondowan, Exploration",,923,9.2%
Deal over 500 damage to a single target in one hit,13,2,A,Battle,,,917,9.2%
Learn Eclipse or Haures,49,6,B,"Summon, Collect_s",,"46, 47, 48, 181, 233",916,9.2%
"Buy an item worth over 10,000 coins",3,1,A,Shopping,,70,914,9.1%
Restore party psynergy with 4 different psynergy stones,2,1,A,Exploration,,,911,9.1%
Befriend the Taopo Swamp Djinn,22,3,A,"Whirlwind, Battle, Djinn_l","Osenia, Taopo",,910,9.1%
Speak to both baby adepts,36,4,A,"Western Sea, Briggs",,,909,9.1%
Unequip a cursed item,1,1,A,"Shopping, Collect_c",Curse,,907,9.1%
Defeat an Elite level Djinn,254,2,A,"Battle, Djinn_c",,,906,9.1%
Break a piece of equipment,17,2,A,"Battle, Collect_c",,,903,9.0%
Drain at least 1 PP or HP from an enemy,20,2,A,Battle,Status,,901,9.0%
Make a tiny Frost pillar,161,19,E,"Frost, Growth, Whirlwind, Exploration","Taopo, Osenia",172,901,9.0%
Collect either overworld Djinn in Hesperia or Atteka,32,4,A,"Western Sea, Djinn_s, Battle",,33,899,9.0%
"Visit all locations with Islands, Isles & Islets in their name (9)",28,4,A,"Western Sea, Exploration",Islands,,898,9.0%
Yeet the Carry Stone into the void,164,4,A,"Western Sea, Carry","Angara, Fun, Puzzle",,898,9.0%
Swing across any Vine or Chain,26,3,A,Whirlwind,"Gaia Rock, Nihan",168,897,9.0%
Purchase 5 different artifact type items,5,1,A,Shopping,,,896,9.0%
Buff a stat to the max in a battle,19,2,A,Battle,,,893,8.9%
Enter Poseidon's room from all three entrances,232,4,A,Grind,"Fun, Exploration",29,886,8.9%
Use Boreas in battle,176,23,B,"Summon, Battle, Djinn_c",,"174, 175, 177, 178, 179, 180, 181",883,8.8%
Reach the top of Tundaria,146,18,E,"Parch, Reveal, Collect_l","Tundaria, Pound","106, 119, 121, 213, 270, 281",877,8.8%
Have your party wipe in battle,6,1,A,Battle,,,873,8.7%
Learn Iris or Charon,233,6,B,"Summon, Collect_s",,"46, 47, 48, 181, 215",871,8.7%
Obtain the item from the Corn vendor,34,4,A,Western Sea,Atteka,,870,8.7%
Collect the Lemuria Fountain Item,113,5,B,Grind,Lemuria,"123, 139, 141, 173, 206",869,8.7%
"Learn two of Azul, Catastrophe or Daedalus",215,6,B,"Summon, Collect_s",,"46, 47, 48, 181, 233",866,8.7%
Get knocked off a wall by a Moai in Gaia Rock,27,3,A,Whirlwind,"Gaia Rock, Nihan, Fun, Puzzle",,860,8.6%
Have the box in SW Atteka Float Away,35,4,A,Western Sea,"Islands, Puzzle, Fun","31, 99",859,8.6%
Collect all overworld Djinn,33,4,A,"Western Sea, Djinn_l, Battle",,32,857,8.6%
Give Ivan 6 Djinn,245,9,B,"Djinn_c, Character",Exploration,"239, 249, 265, 187, 241, 242, 243, 244, 246",856,8.6%
Climb the Lash rope in the center of Madra Catacombs,126,15,D,"Lash, Frost, Reveal","Madra, Indra, RopeClimb","192, 122, 123, 124, 125, 127",855,8.6%
Learn Ulysses or Coatlicue,48,6,B,"Summon, Collect_s",,"46, 47, 49, 174, 181, 233",854,8.5%
Climb the Lash rope next to Moapa's house,125,15,D,"Lash, Whirlwind, Shamans Rod, Western Sea","Shaman Village, Hesperia, RopeClimb","125, 192, 122, 123, 124, 126, 127, 257, 285",853,8.5%
Fight three Aqua Jellies,14,2,A,Battle,,207,842,8.4%
Use the Trident in battle,18,2,A,"Battle, Collect_s",,45,831,8.3%
Hop over a rock in S.Village Cave (hold down in lower area),214,10,D,"Western Sea, Lift","Hesperia, Shaman Village",,827,8.3%
Use Meteor in battle,177,23,B,"Summon, Battle, Djinn_c",,"174, 175, 176, 178, 179, 180, 181",823,8.2%
Use Thor in battle,178,23,B,"Summon, Battle, Djinn_c",,"174, 175, 176, 177, 179, 180, 181",823,8.2%
Lift the Atteka inlet boulder or reveal the djinn,160,13,D,"Western Sea, Djinn_l, Lift","Atteka, Cyclone",,821,8.2%
Enter Magma Interior,96,10,D,"Western Sea, Lift","Magma Rock, Gondowan",,820,8.2%
Get both Djinn in Contigo,169,20,E,"Scoop, Force, Western Sea, Djinn_l, RarePsy","Atteka, Contigo",275,817,8.2%
Reach 149 Element Resist in an element with any Adept,69,2,A,Inventory,,"68, 71, 73",813,8.1%
Reach at least 30% crit chance on someone,73,2,A,Inventory,,"68, 69, 71",810,8.1%
Reach 139 Elemental Power in an element with any Adept,68,2,A,Inventory,,"69, 71, 73",809,8.1%
Have an Ascetic and Cavalier in the party simultaneously,79,12,C,"Djinn_c, Class",,"80, 81, 82, 211, 212, 76, 78, 277, 278, 279, 280",806,8.1%
Learn Moloch or Flora,47,6,B,"Summon, Collect_s",,"46, 48, 49, 179, 180, 233",806,8.1%
Use Judgment in battle,175,23,B,"Summon, Battle, Djinn_c",,"174, 176, 177, 178, 179, 180, 181",806,8.1%
Befriend the SW Atteka Djinn,99,10,D,"Western Sea, Lift, Djinn_l",Islands,"31, 35, 143",805,8.1%
Have the party equipped with four different pieces of cursed equipment,71,2,A,Collect_c,Curse,"68, 69, 73",804,8.0%
Climb the Lash rope onto the gear in Gabomba,124,15,D,"Lash, Scoop","Gabomba, Kibombo, Gondowan, RopeClimb","192, 122, 123, 125, 126, 127, 195, 140, 165, 271",801,8.0%
Give Mia 6 Djinn,246,9,B,"Djinn_c, Character",Exploration,"240, 248, 265, 187, 241, 242, 243, 244, 245",801,8.0%
Open the SW Atteka chest,31,4,A,"Western Sea, Collect_l","Islands, Puzzle, Fun","35, 99",796,8.0%
Visit both Settlements,30,4,A,"Western Sea, Exploration",,"101, 159",793,7.9%
Give Sheba 6 Djinn,241,9,B,"Djinn_c, Character",Exploration,"11, 248, 265, 187, 242, 243, 244, 245, 246",784,7.8%
Have a Scholar and an Ascetic in the party simultaneously.,212,12,C,"Djinn_c, Class",,"80, 81, 82, 211, 79, 77, 78, 277, 278, 279, 280",783,7.8%
Learn Zagan or Megaera,46,6,B,"Summon, Collect_s",,"47, 48, 49, 179, 180, 233",778,7.8%
Find both Jupiter aligned adepts,263,9,B,Character,Exploration,"247, 248, 249, 250, 261, 262, 264, 265",774,7.7%
Enter Airs Rock Tablet Room,23,3,A,"Whirlwind, Exploration","Airs Rock, Osenia","24, 152, 227, 267",772,7.7%
Summon a Lightning Bolt (JL or Airs),267,3,A,Whirlwind,Airs Rock,"23, 24, 152, 227",772,7.7%
Use Ulysses in battle,174,23,B,"Summon, Battle, Djinn_c, Collect_s",,"175, 176, 177, 178, 179, 180, 181, 48",772,7.7%
Get blown off a wall by a whirlwind,227,3,A,Whirlwind,Airs Rock,"23, 24, 152",771,7.7%
Find both Mercury aligned adepts,264,9,B,Character,Exploration,"247, 248, 249, 250, 261, 262, 263, 265",770,7.7%
Give Garet 6 Djinn,244,9,B,"Djinn_c, Character",Exploration,"238, 247, 249, 187, 241, 242, 243, 245, 246",770,7.7%
Obtain Masamune or Phaeton's Blade,51,6,B,"Summon, Collect_s",,"217, 218, 50, 52, 216, 219, 220, 221, 222",770,7.7%
Equip 3 different pieces of body armor to Piers,12,9,B,"Inventory, Collect_c, Character",,"9, 10, 11, 237, 238, 239, 240, 187, 249, 265",768,7.7%
Defeat each member of the Kobold line,62,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 63, 64, 65, 66, 67",764,7.6%
Give Isaac 6 Djinn,243,9,B,"Djinn_c, Character",Exploration,"237, 247, 249, 187, 241, 242, 244, 245, 246",761,7.6%
Give Jenna 6 Djinn,242,9,B,"Djinn_c, Character",Exploration,"10, 247, 248, 187, 241, 243, 244, 245, 246",758,7.6%
"Collect the ""Flora Summon Tablet"" in Airs Rock",24,3,A,"Whirlwind, Collect_l","Airs Rock, Puzzle, Osenia","23, 152, 227, 267",751,7.5%
Befriend 2 of 4 djinn in the GS1 catchup locations,143,17,E,"Western Sea, Djinn_l, Lift","Grind, Growth, Burst, Magma Ball",99,747,7.5%
Open the Fire Brand chest,151,18,E,"Grind, Lift, Collect_l",Treasure Isle,,741,7.4%
Defeat each member of the Momonga line,66,8,A,Battle,"LineClear, Tundaria, Osenia","61, 62, 63, 64, 65, 67",740,7.4%
Equip 3 different pieces of body armor to Mia,240,9,B,"Inventory, Collect_c, Character",Exploration,"246, 248, 265, 9, 10, 11, 12, 237, 238, 239",739,7.4%
Get blown back by air vents in four different dungeons,260,25,F,"Whirlwind, Douse, Frost","Airs Rock, Aqua Rock, Kandorean, Taopo",,739,7.4%
Defeat each member of the Wolfkin line,63,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 62, 64, 65, 66, 67",738,7.4%
Defeat each member of the Emu line,61,8,A,Battle,"LineClear, Treasure Isle, Osenia","62, 63, 64, 65, 66, 67",735,7.3%
Equip 3 different pieces of body armor to Sheba,11,9,B,"Inventory, Collect_c, Character",,"9, 10, 12, 237, 238, 239, 240, 241, 248, 265",731,7.3%
Find both Venus aligned adepts,261,9,B,Character,Exploration,"247, 248, 249, 250, 262, 263, 264, 265",731,7.3%
Obtain Meditation Rod or Thanatos Mace,50,6,B,"Summon, Collect_s",,"217, 218, 51, 52, 216, 219, 220, 221, 222",729,7.3%
Use Flora in battle,179,23,B,"Summon, Battle, Djinn_c, Collect_s",,"174, 175, 176, 177, 178, 180, 181, 47",728,7.3%
Befriend 7 Mars Djinn,76,12,C,Djinn_c,,"75, 77, 78, 183, 86, 87, 88, 79, 211, 82, 277, 278, 280",727,7.3%
Equip 3 different pieces of body armor to Isaac,237,9,B,"Inventory, Collect_c, Character",Exploration,"243, 247, 249, 10, 11, 12, 238, 239, 240",725,7.2%
Collect the Jester's Armlet or the Bone Armlet,221,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 220, 216, 222",724,7.2%
Equip someone with two pieces of forged gear,74,7,B,"Inventory, Forge",,"53, 54, 55, 56, 57, 58, 59, 60",723,7.2%
Collect the Nurse Cap or Thorn Crown,219,6,B,Collect_c,,"217, 218, 51, 52, 50, 216, 220, 221, 222",722,7.2%
Equip 3 different pieces of body armor to Garet,238,9,B,"Inventory, Collect_c, Character",Exploration,"244, 247, 249, 10, 11, 12, 237, 239, 240",722,7.2%
Equip 3 different pieces of body armor to Ivan,239,9,B,"Inventory, Collect_c, Character",Exploration,"245, 249, 265, 9, 10, 11, 12, 237, 238, 240",722,7.2%
Use Moloch in battle,180,23,B,"Summon, Battle, Djinn_c, Collect_s",,"174, 175, 176, 177, 178, 179, 181, 47",722,7.2%
Befriend the Gabomba Catacombs djinn,165,20,E,"Gabomba, Cyclone, Scoop, Pound, Djinn_l","Kibombo, Gondowan, Lash","195, 140, 124, 258, 271, 289",718,7.2%
Equip 3 different pieces of body armor to Jenna,10,9,B,"Inventory, Collect_c, Character",,"9, 11, 12, 237, 238, 239, 240, 242, 247, 248",716,7.2%
Forge with Dark Matter,60,7,B,"Shopping, Forge",,"53, 54, 55, 56, 57, 58, 59, 74, 223, 276",716,7.2%
Collect the Clarity Circlet or Viking Helm,220,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 216, 221, 222",714,7.1%
Collect the Valkyrie Mail or the Phantasmal Mail,216,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 220, 221, 222",712,7.1%
Make Gabomba stick its tongue out,140,17,E,"Exploration, Scoop, Lash, Pound, Gabomba","Kibombo, Gondowan, Puzzle","195, 124, 165, 258, 271, 289",710,7.1%
Have a Shaman and Enchanter in the party simultaneously,80,12,C,"Djinn_c, Class",,"79, 81, 82, 211, 212, 75, 77, 277, 278, 279, 280",709,7.1%
Collect the Iris Robe or the Muni Robe,217,6,B,Collect_c,,"216, 218, 51, 52, 50, 219, 220, 221, 222",707,7.1%
Defeat each member of the Wyvern line,67,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 62, 63, 64, 65, 66",706,7.1%
Have a Cavalier and Scholar in the party simultaneously.,81,12,C,"Djinn_c, Class",,"79, 80, 82, 211, 212, 78, 77, 277, 278, 279, 280",706,7.1%
Defeat each member of the Assassin line,64,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 62, 63, 65, 66, 67",705,7.0%
"Have someone be a Dragoon (V, Ma, Me)",278,12,C,"Djinn_c, Class",,"75, 76, 78, 79, 70, 81, 82, 277, 279, 280, 184",702,7.0%
Find both Mars aligned adepts,262,9,B,Character,Exploration,"247, 248, 249, 250, 261, 263, 264, 265",698,7.0%
Forge with Dragon Skin,54,7,B,"Shopping, Forge",,"53, 55, 56, 57, 58, 59, 60, 74, 223, 276",697,7.0%
Forge with Tear Stone,53,7,B,"Shopping, Forge",,"54, 55, 56, 57, 58, 59, 60, 74, 223, 276",695,7.0%
Forge with Golem Core,58,7,B,"Shopping, Forge",,"53, 54, 55, 56, 57, 59, 60, 74, 223, 276",691,6.9%
Forge with Salamander Tail,55,7,B,"Shopping, Forge",,"53, 54, 56, 57, 58, 59, 60, 74, 223, 276",689,6.9%
Collect the Spirit Gloves or the Fujin Shield,222,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 220, 221, 216",687,6.9%
Obtain the Lightning Sword or the Storm Brand,52,6,B,"Summon, Collect_s",,"217, 218, 51, 50, 216, 219, 220, 221, 222",685,6.9%
Defeat each member of the Dinox line,65,8,A,Battle,"LineClear, Tundaria, Osenia","61, 62, 63, 64, 66, 67",680,6.8%
Collect the Erinyes Tunic or the Full Metal Vest,218,6,B,Collect_c,,"217, 216, 51, 52, 50, 219, 220, 221, 222",679,6.8%
"Have someone be a Ninja (V, Ma, J)",277,12,C,"Djinn_c, Class",,"75, 76, 77, 79, 70, 81, 82, 278, 279, 280, 184",674,6.7%
Turn a molten rock to ice,190,22,F,"Growth, Whirlwind, Collect_l","Magma Rock, Gondowan, Western Sea, Lift, Blaze, Burst, Douse, Frost","170, 172",671,6.7%
"Have someone be a Medium (Me, J, V)",279,12,C,"Djinn_c, Class",,"75, 77, 78, 79, 70, 81, 82, 277, 278, 280, 184",667,6.7%
Have Sunshine forge three different materials,276,7,B,RNG + Money,"Shopping, Forge","53, 54, 55, 56, 57, 58, 59, 60, 74, 223",666,6.7%
